review_id,member_id,book_id,Percentage_Comp,review_rating
241,0E3B9E0B-5CD4-4716-84A2-FDD3A30F732F,160102265,58,5
242,0E3B9E0B-5CD4-4716-84A2-FDD3A30F732F,170200448,99,4
249,0E8547EE-0128-4809-A377-8609C3398B37,160812646,22,5
250,0E8547EE-0128-4809-A377-8609C3398B37,170201193,1,5
251,0E8722A2-3B3A-4C21-9867-977098D10AA4,161203371,43,5
254,0EE7D6FB-8D8E-4C69-A365-186D39566DAB,140904326,95,4
260,0F227397-D8DF-40F5-8C1F-CDBF02CB8242,161108491,99,5
262,0F2B6A48-AC29-4990-9BBB-C0FBD1C16FAA,150403677,18,5
270,1054E857-0B4F-4072-883C-534AFDE6F792,160812646,28,5
271,1054E857-0B4F-4072-883C-534AFDE6F792,170201127,0,5
274,10C14769-375D-41D7-9ED0-5A0647A10E0C,150200580,47,3
276,10D5381B-46C1-43E0-8CF2-872B8EF82F95,161205033,96,5
277,10F270CD-DD8D-4EB3-94CA-EEA574B3CDB1,140503128,1,5
278,10F270CD-DD8D-4EB3-94CA-EEA574B3CDB1,170201831,2,5
281,112229E2-F0CE-4654-A35E-B4BD03962BDB,170108221,4,5
282,112229E2-F0CE-4654-A35E-B4BD03962BDB,170201563,98,2
283,112229E2-F0CE-4654-A35E-B4BD03962BDB,170201645,58,1
284,114302F3-DDBE-4D06-B2BF-B020D0A6FDA0,120200371,88,4
285,11696187-D1D3-4A35-B2F2-F1F9012482C0,160303792,1,4
287,11696187-D1D3-4A35-B2F2-F1F9012482C0,170201593,20,3
288,118150B1-A008-48F2-A6CB-1420905CB05F,160700206,2,5
291,118150B1-A008-48F2-A6CB-1420905CB05F,161104335,92,5
301,119A83B2-8268-43B8-8460-51EA041AFC2F,161108491,71,5
302,11C0A969-1D9D-4A91-BF85-FA64343F16AB,170201203,99,5
303,11C35BDD-19CF-4931-98FC-503CCEBC2795,161108516,0,5
304,11C35BDD-19CF-4931-98FC-503CCEBC2795,170201831,1,5
310,126148B3-55D3-41DE-A205-40D98E2B0AC4,170200626,3,5
311,1264C2E9-7F6B-462D-90C1-AC14C5E019D2,160303792,0,5
312,1264C2E9-7F6B-462D-90C1-AC14C5E019D2,170201216,98,5
313,128953A1-98AB-49E7-828E-AD7BC639DBF9,160303792,1,5
314,128DD50F-D107-4034-9D57-A5FA4B751BB5,170201831,1,4
315,129A9331-A9E0-44AF-9CD0-AE1B50FF1667,160702264,1,5
317,129A9331-A9E0-44AF-9CD0-AE1B50FF1667,160702270,8,5
319,129A9331-A9E0-44AF-9CD0-AE1B50FF1667,161101436,0,4
321,129A9331-A9E0-44AF-9CD0-AE1B50FF1667,161101438,6,5
324,12C167F9-939B-429E-8C1D-13FEBE11126A,170201216,98,5
326,12CA662D-002B-43FF-B7A5-C4FB67B27B34,151103366,98,5
327,12CA662D-002B-43FF-B7A5-C4FB67B27B34,170201831,1,5
328,12CBCF6A-4C7A-410F-9782-8AD7067C0680,170201216,98,5
329,12CBCF6A-4C7A-410F-9782-8AD7067C0680,170201831,1,5
330,12D696BB-CA42-4664-B3F7-521A45A8A81E,141100585,96,4
331,12D696BB-CA42-4664-B3F7-521A45A8A81E,141100586,96,4
332,12D696BB-CA42-4664-B3F7-521A45A8A81E,141100587,97,4
333,12D696BB-CA42-4664-B3F7-521A45A8A81E,160306593,35,3
337,132CA0A8-3D4A-4611-B616-96B5E8C098D6,170201563,54,1
338,132CA0A8-3D4A-4611-B616-96B5E8C098D6,170201637,39,5
341,13AC68EB-B040-45AB-9D43-384CF1DEF6F7,131003158,1,4
342,13AC68EB-B040-45AB-9D43-384CF1DEF6F7,170201531,0,1
345,13F7F098-639E-442A-AB1B-57F1DBD16EC5,111000241,96,5
347,1413AAF6-FC2F-4CF7-B7FF-0E6790EAB7E1,140306386,1,5
348,1413AAF6-FC2F-4CF7-B7FF-0E6790EAB7E1,170201127,0,5
350,14533BA3-07A4-456D-A0F3-85B53F1DF5AC,170108417,2,5
353,1477255C-6478-4C51-9909-B9EFEA35CA1B,170201203,99,5
357,147FB395-37CF-4667-8FC4-C8B1E740C209,140114150,53,4
365,15CC6AA1-3359-4D80-B821-34BEB5C96D95,160117412,96,4
366,15CC6AA1-3359-4D80-B821-34BEB5C96D95,160117413,9,5
367,15CC6AA1-3359-4D80-B821-34BEB5C96D95,170201916,39,5
368,15E6A39F-DFCB-496A-81F7-560CA4BCC9B2,160303792,76,5
372,1600506B-3477-4918-9F58-6D41E10D179A,170109419,64,5
373,1600506B-3477-4918-9F58-6D41E10D179A,170200626,33,4
377,16367E0A-0F8F-4C66-B469-469B2EFA9AF5,161200194,0,5
378,168F15D6-4504-47AC-8B79-DF731F73E2B2,160812356,4,5
383,16CE37F0-2562-491D-8960-A5D960915EF5,170201831,97,5
384,16FE2FBB-CCD5-43AD-B4E4-7DB3B19ADDDC,170104890,0,4
385,16FE2FBB-CCD5-43AD-B4E4-7DB3B19ADDDC,170201127,20,2
390,1737003F-32C1-44D5-A3B4-F5331D03981B,170201542,57,5
391,1737003F-32C1-44D5-A3B4-F5331D03981B,170201543,97,4
392,1737003F-32C1-44D5-A3B4-F5331D03981B,170201544,68,5
393,1737003F-32C1-44D5-A3B4-F5331D03981B,170201831,1,5
394,1755E889-417B-4DF4-9B81-53612947CEA5,170200625,19,5
398,179AE37E-32F4-44C8-A955-1BD4A0C0E06B,170201916,20,4
404,1883E502-7A51-4B0B-9D25-1775C172F4E5,140702755,10,4
405,188579C6-389A-4F36-9098-DD683ED19DC0,140306539,28,4
406,188579C6-389A-4F36-9098-DD683ED19DC0,140400878,8,4
408,189C3245-698D-4941-87B7-CD553A96CB65,170201831,55,5
409,18CD3A6F-E808-41C7-A8F5-B076F18D96B2,161203371,5,5
411,18DA5428-169E-4719-BEC9-89097F806B73,170200635,99,5
414,18EB88AB-075F-4798-A256-C43C26059A11,170201543,1,5
